Origin,Percentage_airline_flights,percent_delayed,percent_diverted_cancelled,PercentAirlineFault,HolidayPercentDelayed,HowExtremeDelay,ScoreFrom_percent_delayed,ScoreFrom_percent_diverted_cancelled,ScoreFrom_PercentAirlineFault,ScoreFrom_HolidayPercentDelayed,ScoreFrom_HowExtremeDelay,ScoreFrom_Size,TotalScore,IATA,Name,State,Latitude,Longitude
OME,0.0015898181371020513,0.2541436464088398,0.0718232044198895,0.1172662480063796,0.09090909090909091,31.793478260869566,1.0,0.25,1.0,1.0,1.0,0.25,4.5,OME,Nome Airport,Alaska,64.51256,-165.44439
ONT,0.006086983254208407,0.35714285714285715,0.03823953823953824,0.20458098808731184,0.35294117647058826,25.14949494949495,0.5,0.25,1.0,0.5,1.0,0.25,3.5,ONT,Ontario International Airport,California,34.05601,-117.60119
ORD,0.012507740481952051,0.37254213483146065,0.028792134831460675,0.25830680197861805,0.33035714285714285,38.29971724787936,0.5,0.5,0.5,0.5,0.5,0.5,3.0,ORD,Chicago O'Hare International Airport,Illinois,41.97694,-87.90815
OTZ,0.003175244511394429,0.21991701244813278,0.08160442600276625,0.05608522519109211,0.22727272727272727,24.60377358490566,1.0,0.25,1.0,1.0,1.0,0.25,4.5,OTZ,Ralph Wien Memorial Airport,Alaska,66.88481,-162.59814
PAE,0.0031664609857750803,0.34257975034674065,0.018030513176144243,0.2534949473006394,0.16666666666666666,29.493927125506072,0.5,0.5,0.5,1.0,1.0,0.25,3.75,PAE,Seattle Paine Field International Airport,Washington,47.9,-122.3
PDX,0.07441402904711922,0.3692752596789424,0.027384324834749764,0.3041134061494072,0.3683409436834094,26.599488572798467,0.5,0.5,0.5,0.5,1.0,0.5,3.5,PDX,Portland International Airport,Oregon,45.58871,-122.59687
PHL,0.002279324898220897,0.37764932562620424,0.025048169556840076,0.19276187292561486,0.3888888888888889,29.831632653061224,0.5,0.5,1.0,0.5,1.0,0.25,3.75,PHL,Philadelphia International Airport,Pennsylvania,39.87208,-75.24066
PHX,0.019921036104682058,0.36155202821869487,0.02292768959435626,0.23150915074825223,0.313953488372093,29.052439024390242,0.5,0.5,0.5,0.5,1.0,0.5,3.5,PHX,Phoenix Sky Harbor International Airport,Arizona,33.43428,-112.01158
PIT,0.0019104168222082662,0.46436781609195404,0.01839080459770115,0.33495598858661774,0.5294117647058824,30.34158415841584,0.25,0.5,0.25,0.25,1.0,0.25,2.5,PIT,Pittsburgh International Airport,Pennsylvania,40.49142,-80.23269
PSP,0.005630239922002293,0.3237129485179407,0.035101404056162244,0.1824424826182042,0.29411764705882354,32.6578313253012,1.0,0.25,1.0,1.0,1.0,0.25,4.5,PSP,Palm Springs International Airport,California,33.82967,-116.50669
RDM,0.0008300431710284191,0.4497354497354497,0.026455026455026454,0.33645939718279,0.625,24.847058823529412,0.25,0.5,0.25,0.25,1.0,0.0,2.25,RDM,Roberts Field,Oregon,44.25407,-121.14997
RDU,0.002059736757737188,0.4349680170575693,0.03624733475479744,0.25264296021501786,0.4117647058823529,26.362745098039216,0.5,0.25,0.5,0.5,1.0,0.25,3.0,RDU,Raleigh-Durham International Airport,North Carolina,35.87764,-78.78747
RNO,0.002977615184959091,0.2861356932153392,0.029498525073746312,0.17364914455663277,0.36,34.123711340206185,1.0,0.5,1.0,0.5,1.0,0.25,4.25,RNO,Reno/Tahoe International Airport,Nevada,39.49911,-119.76811
RSW,0.000702682049547868,0.3625,0.06875,0.3906890697063647,0.14285714285714285,38.39655172413793,0.5,0.25,0.25,1.0,0.5,0.0,2.5,RSW,Southwest Florida International Airport,Florida,26.5,-81.8
SAN,0.03790091304748813,0.419351100811124,0.031517960602549244,0.22961343010832078,0.4277286135693215,30.123791102514506,0.5,0.25,0.5,0.5,1.0,0.5,3.25,SAN,San Diego International Airport,California,32.73356,-117.18966
SAT,0.0017435298354406476,0.4987405541561713,0.03526448362720403,0.13532824051804318,0.3333333333333333,26.767676767676768,0.25,0.25,1.0,0.5,1.0,0.25,3.25,SAT,San Antonio International Airport,Texas,29.53396,-98.46906
SBA,0.0009003113759832059,0.3170731707317073,0.03414634146341464,0.04112554112554113,0.4444444444444444,27.723076923076924,1.0,0.25,1.0,0.25,1.0,0.0,3.5,SBA,Santa Barbara Municipal Airport,California,34.4,-119.8
SCC,0.00135705470818932,0.16181229773462782,0.012944983818770227,0.13152994923418063,0.125,44.8,1.0,1.0,1.0,1.0,0.5,0.0,4.5,SCC,Deadhorse Airport,Alaska,70.19475,-148.46516
SEA,0.3153988379395606,0.43843990197170546,0.024312131001448144,0.33589214964768976,0.46943231441048033,26.516054244608885,0.5,0.5,0.25,0.25,1.0,0.5,3.0,SEA,Seattle-Tacoma International Airport,Washington,47.44989,-122.31178
SFO,0.05637705918778738,0.40289787333489135,0.02235724857832827,0.33184211736434366,0.4446601941747573,34.5030935808198,0.5,0.5,0.25,0.25,1.0,0.5,3.0,SFO,San Francisco International Airport,California,37.61881,-122.37542
SIT,0.0010891571767991954,0.5403225806451613,0.024193548387096774,0.16885571070500321,0.5,26.82089552238806,0.25,0.5,1.0,0.25,1.0,0.0,3.0,SIT,Sitka Rocky Gutierrez Airport,Alaska,57.04683,-135.36107
SJC,0.017896433449422263,0.2976687116564417,0.0196319018404908,0.3032908923045497,0.36423841059602646,30.036273701566365,1.0,0.5,0.5,0.5,1.0,0.5,4.0,SJC,Norman Y Mineta San Jose International Airport,California,37.36299,-121.92862
SLC,0.0049802590261705144,0.3932980599647266,0.023809523809523808,0.22986160544932718,0.41304347826086957,33.289237668161434,0.5,0.5,0.5,0.5,1.0,0.25,3.25,SLC,Salt Lake City International Airport,Utah,40.78839,-111.97777
SMF,0.008142328249135921,0.2626752966558792,0.025889967637540454,0.2690304469260178,0.31343283582089554,25.560574948665298,1.0,0.5,0.5,0.5,1.0,0.25,3.75,SMF,Sacramento International Airport,California,38.69544,-121.59078
SNA,0.01547218037848212,0.31478853250070965,0.034345728072665345,0.18486389178372975,0.3602941176470588,25.578899909828674,1.0,0.25,1.0,0.5,1.0,0.5,4.25,SNA,John Wayne/Orange County Airport,California,33.67566,-117.86823
STL,0.0023979024940821,0.358974358974359,0.02564102564102564,0.3948960071288212,0.5625,35.244897959183675,0.5,0.5,0.25,0.25,1.0,0.25,2.75,STL,St Louis Lambert International Airport,Missouri,38.7487,-90.37003
STS,0.0008432184594574417,0.4895833333333333,0.015625,0.15690278578706568,0.625,27.595744680851062,0.25,1.0,1.0,0.25,1.0,0.0,3.5,STS,Charles M Schulz - Sonoma County Airport,California,38.50969,-122.81289
TPA,0.003605637266742498,0.3373934226552984,0.03532277710109622,0.1877958833807533,0.3,39.07942238267148,0.5,0.25,1.0,0.5,0.5,0.25,3.0,TPA,Tampa International Airport,Florida,27.97547,-82.53325
TUS,0.00180940627758576,0.3640776699029126,0.007281553398058253,0.13929700874573048,0.38461538461538464,31.773333333333333,0.5,1.0,1.0,0.5,1.0,0.25,4.25,TUS,Tucson International Airport,Arizona,32.11607,-110.94101
